id,year,month,day,station
1,2022,1,1,FOP1
2,2022,1,1,KABR
3,2022,1,1,KABX
4,2022,1,1,KAKQ
5,2022,1,1,KAMA
6,2022,1,1,KAMX
7,2022,1,1,KAPX
8,2022,1,1,KARX
9,2022,1,1,KATX
10,2022,1,1,KBBX
11,2022,1,1,KBGM
12,2022,1,1,KBHX
13,2022,1,1,KBIS
14,2022,1,1,KBLX
15,2022,1,1,KBMX
16,2022,1,1,KBOX
17,2022,1,1,KBRO
18,2022,1,1,KBUF
19,2022,1,1,KBYX
20,2022,1,1,KCAE
21,2022,1,1,KCBW
22,2022,1,1,KCBX
23,2022,1,1,KCCX
24,2022,1,1,KCLE
25,2022,1,1,KCLX
26,2022,1,1,KCRP
27,2022,1,1,KCXX
28,2022,1,1,KCYS
29,2022,1,1,KDAX
30,2022,1,1,KDDC
31,2022,1,1,KDFX
32,2022,1,1,KDGX
33,2022,1,1,KDIX
34,2022,1,1,KDLH
35,2022,1,1,KDMX
36,2022,1,1,KDOX
37,2022,1,1,KDTX
38,2022,1,1,KDVN
39,2022,1,1,KDYX
40,2022,1,1,KEAX
41,2022,1,1,KEMX
42,2022,1,1,KENX
43,2022,1,1,KEOX
44,2022,1,1,KEPZ
45,2022,1,1,KESX
46,2022,1,1,KEVX
47,2022,1,1,KEWX
48,2022,1,1,KEYX
49,2022,1,1,KFCX
50,2022,1,1,KFDR
51,2022,1,1,KFDX
52,2022,1,1,KFFC
53,2022,1,1,KFSD
54,2022,1,1,KFSX
55,2022,1,1,KFTG
56,2022,1,1,KFWS
57,2022,1,1,KGGW
58,2022,1,1,KGJX
59,2022,1,1,KGLD
60,2022,1,1,KGRB
61,2022,1,1,KGRK
62,2022,1,1,KGRR
63,2022,1,1,KGSP
64,2022,1,1,KGWX
65,2022,1,1,KGYX
66,2022,1,1,KHDX
67,2022,1,1,KHGX
68,2022,1,1,KHNX
69,2022,1,1,KHPX
70,2022,1,1,KHTX
71,2022,1,1,KICT
72,2022,1,1,KICX
73,2022,1,1,KILN
74,2022,1,1,KILX
75,2022,1,1,KIND
76,2022,1,1,KINX
77,2022,1,1,KIWA
78,2022,1,1,KIWX
79,2022,1,1,KJAX
80,2022,1,1,KJGX
81,2022,1,1,KJKL
82,2022,1,1,KLBB
83,2022,1,1,KLCH
84,2022,1,1,KLGX
85,2022,1,1,KLIX
86,2022,1,1,KLNX
87,2022,1,1,KLOT
88,2022,1,1,KLRX
89,2022,1,1,KLSX
90,2022,1,1,KLTX
91,2022,1,1,KLVX
92,2022,1,1,KLWX
93,2022,1,1,KLZK
94,2022,1,1,KMAF
95,2022,1,1,KMAX
96,2022,1,1,KMBX
97,2022,1,1,KMHX
98,2022,1,1,KMKX
99,2022,1,1,KMLB
100,2022,1,1,KMOB
101,2022,1,1,KMPX
102,2022,1,1,KMQT
103,2022,1,1,KMRX
104,2022,1,1,KMSX
105,2022,1,1,KMTX
106,2022,1,1,KMUX
107,2022,1,1,KMVX
108,2022,1,1,KMXX
109,2022,1,1,KNKX
110,2022,1,1,KNQA
111,2022,1,1,KOAX
112,2022,1,1,KOHX
113,2022,1,1,KOKX
114,2022,1,1,KOTX
115,2022,1,1,KPAH
116,2022,1,1,KPBZ
117,2022,1,1,KPDT
118,2022,1,1,KPOE
119,2022,1,1,KPUX
120,2022,1,1,KRAX
121,2022,1,1,KRGX
122,2022,1,1,KRIW
123,2022,1,1,KRLX
124,2022,1,1,KRTX
125,2022,1,1,KSFX
126,2022,1,1,KSGF
127,2022,1,1,KSHV
128,2022,1,1,KSJT
129,2022,1,1,KSOX
130,2022,1,1,KSRX
131,2022,1,1,KTBW
132,2022,1,1,KTFX
133,2022,1,1,KTLH
134,2022,1,1,KTLX
135,2022,1,1,KTWX
136,2022,1,1,KTYX
137,2022,1,1,KUDX
138,2022,1,1,KUEX
139,2022,1,1,KVAX
